45|-85|94|14|0
-75|-85|14|4|1.5707963267949
-132.5|-85|79|14|0
-212.5|-85|79|14|0
-292.5|-85|79|14|0
-372.5|-85|79|14|0
-452.5|-85|79|14|0
-532.5|-85|79|14|0
-612.5|-85|79|14|0
-687.5|-85|69|14|0
-815|-85|14|4|1.5707963267949
-835|-85|14|4|1.5707963267949
-962.5|-85|69|14|0
-1037.5|-85|79|14|0
-1117.5|-85|79|14|0
-1197.5|-85|79|14|0
-1277.5|-85|79|14|0
-1357.5|-85|79|14|0
-1437.5|-85|79|14|0
-1517.5|-85|79|14|0
-1612.5|-85|79|14|0
-1692.5|-85|79|14|0
-1772.5|-85|79|14|0
-1850|-85|74|14|0
-2020|-85|84|14|0
-2120|-85|84|14|0
-2290|-85|74|14|0
-2367.5|-85|79|14|0
-2447.5|-85|79|14|0
-2527.5|-85|79|14|0
-2622.5|-85|79|14|0
-2702.5|-85|79|14|0
-2782.5|-85|79|14|0
-2860|-85|74|14|0
-3030|-85|84|14|0
-3130|-85|84|14|0
-3300|-85|74|14|0
-3377.5|-85|79|14|0
-3457.5|-85|79|14|0
-3537.5|-85|79|14|0
-3632.5|-85|79|14|0
-3712.5|-85|79|14|0
-3792.5|-85|79|14|0
-3870|-85|74|14|0
-4040|-85|84|14|0
-4140|-85|84|14|0
-4310|-85|74|14|0
-4387.5|-85|79|14|0
-4467.5|-85|79|14|0
-4547.5|-85|79|14|0
-4645|-85|84|14|0
-4815|-85|74|14|0
-4892.5|-85|79|14|0
-4972.5|-85|79|14|0
-5052.5|-85|79|14|0
